"age","gender","driving_experience","education","income","credit_score","vehicle_ownership","vehicle_year","married","children","annual_mileage","speeding_violations","duis","past_accidents","outcome","zipcode"
"26-39","male","10-19y","none","poverty",0.294797480771997,"1","before 2015","1","0",15000,0,0,1,"0","1"
"26-39","male","10-19y","university","middle class",0.551950495261839,"0","after 2015","0","0",17000,0,0,1,"0","1"
"65+","male","0-9y","university","upper class",0.649820471216227,"1","after 2015","1","1",9000,0,0,0,"1","3"
"40-64","male","20-29y","high school","middle class",0.521804434639763,"1","after 2015","1","1",7000,2,0,1,"0","9"
"65+","female","30y+","university","upper class",0.70126832406042,"1","before 2015","1","1",10000,3,1,1,"0","1"
"16-25","male","0-9y","none","poverty",0.171244028821321,"1","before 2015","1","1",9000,0,0,0,"0","1"
"16-25","male","0-9y","none","poverty",0.318441997212417,"1","before 2015","0","1",10000,0,0,0,"1","3"
"26-39","female","0-9y","high school","middle class",0.604684269671555,"1","before 2015","1","1",11000,0,0,0,"1","2"
"16-25","male","0-9y","university","working class",0.504994852644038,"0","after 2015","0","0",8000,0,0,0,"1","3"
"26-39","male","10-19y","high school","working class",0.625146635281622,"1","before 2015","0","1",17000,3,0,2,"0","1"
"40-64","female","10-19y","none","middle class",NA,"1","before 2015","1","1",11000,2,0,1,"0","1"
"65+","male","30y+","university","upper class",NA,"0","after 2015","0","1",12000,6,0,5,"0","1"
"40-64","male","10-19y","university","upper class",0.578130587321203,"1","before 2015","0","1",14000,1,0,1,"0","9"
"65+","male","30y+","high school","upper class",0.705454290213705,"1","before 2015","1","1",10000,5,1,3,"0","1"
"40-64","male","20-29y","university","upper class",0.659525490587594,"1","after 2015","0","1",16000,4,0,2,"0","1"
"40-64","male","20-29y","university","upper class",0.587383612046022,"0","after 2015","1","1",9000,10,2,0,"0","3"
"16-25","male","0-9y","none","poverty",0.406482425397448,"0","before 2015","0","0",16000,0,0,0,"1","1"
"26-39","female","10-19y","high school","poverty",0.285747131959647,"0","before 2015","0","1",13000,1,0,0,"1","1"
"40-64","male","20-29y","high school","middle class",0.502284965273106,"0","before 2015","0","0",14000,3,0,4,"0","1"
"65+","male","20-29y","high school","upper class",0.625625721021023,"1","after 2015","1","1",7000,7,0,5,"0","1"
"40-64","female","20-29y","university","upper class",NA,"1","after 2015","1","1",11000,3,0,2,"0","9"
"26-39","female","10-19y","university","working class",0.3931531299744,"1","before 2015","0","1",12000,1,0,0,"0","3"
"26-39","female","10-19y","none","working class",0.503949759816812,"0","before 2015","0","1",14000,1,0,0,"0","1"
"40-64","male","20-29y","university","upper class",0.658627430257144,"1","before 2015","1","0",14000,3,0,2,"0","1"
"26-39","female","0-9y","high school","working class",0.52414646575012,"0","before 2015","0","0",17000,0,0,0,"1","1"
"65+","male","20-29y","university","upper class",0.553100757062867,"0","after 2015","1","1",7000,9,0,1,"0","3"
"16-25","female","0-9y","university","working class",0.447550948914277,"0","before 2015","1","1",8000,0,0,0,"1","1"
"16-25","female","0-9y","none","working class",0.510733136506421,"1","before 2015","1","1",7000,0,0,0,"1","1"
"26-39","female","10-19y","high school","middle class",NA,"1","after 2015","1","0",15000,0,0,0,"0","1"
"16-25","female","0-9y","high school","poverty",0.461373591726919,"0","before 2015","0","0",9000,0,0,0,"1","3"
"40-64","female","20-29y","university","middle class",0.387556944364732,"0","after 2015","0","1",12000,2,0,1,"0","3"
"40-64","female","20-29y","university","middle class",0.570157225661622,"1","after 2015","1","1",NA,0,0,0,"0","1"
"26-39","male","10-19y","university","working class",0.550125087574322,"1","before 2015","0","0",16000,0,1,0,"0","1"
"40-64","male","20-29y","high school","working class",0.452944231609368,"0","before 2015","1","1",12000,3,0,1,"0","1"
"26-39","male","10-19y","university","upper class",NA,"1","before 2015","1","1",8000,2,0,1,"0","1"
"40-64","female","20-29y","high school","upper class",0.535274309660214,"1","before 2015","1","1",7000,2,0,0,"0","9"
"16-25","female","0-9y","university","middle class",0.614735948563292,"1","before 2015","0","1",15000,0,0,0,"1","1"
"40-64","female","20-29y","high school","poverty",0.454447156432926,"1","before 2015","1","1",NA,1,0,1,"0","1"
"40-64","female","0-9y","university","upper class",0.613740918381942,"1","before 2015","0","0",NA,0,0,0,"0","1"
"40-64","female","10-19y","high school","working class",0.532661328025059,"1","before 2015","1","1",11000,0,0,0,"0","1"
"40-64","female","0-9y","university","middle class",0.427728514301935,"1","before 2015","0","0",15000,0,0,0,"1","1"
"65+","male","20-29y","university","upper class",0.685945721371915,"1","before 2015","1","1",5000,4,1,4,"0","3"
"65+","male","10-19y","university","upper class",0.693612426718708,"1","before 2015","1","1",10000,2,0,0,"0","1"
"65+","male","20-29y","high school","upper class",0.597990596358233,"0","before 2015","1","1",12000,2,1,7,"1","1"
"26-39","male","0-9y","none","poverty",0.330818666498693,"0","after 2015","1","1",12000,0,0,0,"1","1"
"40-64","male","20-29y","high school","working class",NA,"1","before 2015","0","0",12000,5,0,7,"0","1"
"26-39","female","10-19y","none","working class",NA,"1","before 2015","0","1",9000,2,0,0,"0","1"
"16-25","male","0-9y","high school","middle class",0.508304218380355,"1","before 2015","0","1",16000,0,0,0,"0","1"
"26-39","female","0-9y","university","upper class",0.764132916500523,"1","before 2015","1","1",12000,0,0,0,"0","1"
"40-64","female","0-9y","university","middle class",0.477516960383772,"1","after 2015","1","1",14000,0,0,0,"0","1"
"40-64","female","20-29y","university","upper class",0.681233207848696,"1","before 2015","1","1",10000,0,0,1,"0","1"
"40-64","male","0-9y","university","upper class",0.467155545700702,"1","after 2015","0","0",16000,0,0,0,"0","1"
"16-25","female","0-9y","high school","working class",0.39416324549998,"1","before 2015","0","0",16000,0,0,0,"1","1"
"40-64","female","10-19y","university","upper class",0.661060732273408,"1","after 2015","1","1",14000,0,0,0,"0","1"
"40-64","male","20-29y","university","upper class",0.665187974843035,"0","before 2015","0","1",14000,2,0,1,"0","1"
"16-25","female","0-9y","high school","middle class",0.560770206632082,"1","before 2015","0","1",11000,0,0,0,"0","1"
"26-39","female","10-19y","university","upper class",0.745432710369655,"0","after 2015","0","0",9000,0,0,0,"0","3"
"26-39","male","10-19y","university","middle class",0.53257435224505,"1","before 2015","1","1",13000,1,0,2,"0","1"
"26-39","female","10-19y","high school","middle class",0.526747339143442,"1","after 2015","0","1",14000,0,0,0,"0","1"
"16-25","female","0-9y","none","poverty",0.412451746165428,"0","before 2015","0","0",14000,0,0,0,"1","1"
"40-64","male","20-29y","high school","working class",0.38710714490183,"0","before 2015","0","1",16000,0,0,6,"0","1"
"65+","male","10-19y","high school","middle class",0.549993867834325,"1","before 2015","1","1",9000,3,1,1,"0","3"
"16-25","male","0-9y","university","upper class",0.58534209475756,"1","before 2015","1","1",12000,0,0,0,"1","1"
"65+","male","30y+","none","middle class",0.598739605434331,"1","before 2015","1","1",14000,6,1,3,"0","1"
"40-64","male","20-29y","university","upper class",0.602655700079179,"1","after 2015","1","1",7000,4,0,6,"0","1"
"26-39","female","0-9y","high school","working class",0.511457058480353,"1","after 2015","1","1",NA,0,0,0,"0","3"
"40-64","female","20-29y","high school","upper class",0.558659173528889,"0","before 2015","0","1",15000,3,0,2,"0","1"
"40-64","male","10-19y","high school","working class",0.62840701371703,"0","before 2015","0","0",13000,0,0,0,"1","1"
"40-64","male","0-9y","high school","working class",0.505790373257178,"1","before 2015","0","1",13000,0,0,0,"0","1"
"26-39","female","10-19y","university","upper class",0.726818418064528,"1","before 2015","1","1",15000,2,0,0,"0","1"
"65+","male","20-29y","university","upper class",0.690442333573318,"1","after 2015","1","1",9000,8,0,2,"0","3"
"40-64","male","20-29y","university","upper class",0.479677164661931,"0","after 2015","1","0",14000,1,0,2,"0","1"
"26-39","male","10-19y","university","upper class",NA,"1","after 2015","1","1",11000,3,1,0,"0","1"
"40-64","female","20-29y","none","working class",0.440559204196823,"1","after 2015","1","1",11000,1,0,2,"0","1"
"16-25","female","0-9y","none","middle class",0.634052597196068,"1","before 2015","0","1",NA,0,0,0,"1","3"
"16-25","female","0-9y","high school","poverty",0.457469587994367,"0","before 2015","0","0",NA,0,0,0,"0","1"
"26-39","male","0-9y","none","poverty",0.308649018200494,"0","before 2015","0","1",14000,0,0,0,"0","1"
"16-25","male","0-9y","high school","poverty",0.245835185234074,"0","before 2015","1","1",11000,0,0,0,"1","1"
"16-25","male","0-9y","high school","poverty",0.305646519041316,"0","before 2015","0","0",14000,0,0,0,"1","1"
"26-39","male","10-19y","high school","upper class",0.744014086268148,"1","before 2015","0","0",13000,2,0,1,"0","1"
"40-64","male","10-19y","university","upper class",0.670464546789941,"1","after 2015","1","1",14000,0,0,0,"0","1"
"65+","female","30y+","high school","upper class",0.683040798482419,"0","after 2015","1","1",10000,4,1,3,"0","1"
"16-25","male","0-9y","university","middle class",0.828628569053192,"1","before 2015","0","0",13000,0,0,0,"1","1"
"65+","male","30y+","none","middle class",NA,"1","before 2015","1","1",10000,12,2,2,"0","3"
"65+","female","30y+","high school","upper class",0.629338093971741,"1","before 2015","1","0",11000,2,0,2,"0","1"
"16-25","male","0-9y","high school","poverty",0.28372421050714,"0","before 2015","0","1",15000,0,0,0,"1","1"
"16-25","male","0-9y","university","working class",0.457648681585843,"1","after 2015","0","0",14000,0,0,0,"1","1"
"16-25","female","0-9y","high school","poverty",0.304987642393795,"0","before 2015","0","0",15000,0,0,0,"1","1"
"16-25","male","0-9y","high school","working class",0.551744288413539,"0","before 2015","1","1",10000,0,0,0,"1","3"
"16-25","male","0-9y","none","poverty",0.318685556245105,"1","before 2015","1","0",9000,0,0,0,"1","3"
"26-39","male","10-19y","none","working class",0.436944194154781,"1","before 2015","0","0",12000,3,0,0,"0","1"
"40-64","male","10-19y","university","upper class",0.629193984322172,"1","before 2015","1","1",7000,5,0,1,"0","3"
"16-25","male","0-9y","university","working class",0.405560015888726,"1","before 2015","0","0",17000,0,0,0,"1","1"
"16-25","male","0-9y","university","middle class",0.62354621158032,"1","before 2015","1","0",11000,0,0,0,"0","1"
"65+","male","10-19y","university","upper class",0.727032989782123,"1","before 2015","1","1",10000,1,1,2,"0","1"
"65+","male","20-29y","none","working class",0.426828388879915,"1","before 2015","1","0",14000,3,1,7,"0","1"
"26-39","female","10-19y","none","middle class",0.503658970448773,"1","before 2015","0","1",10000,1,2,0,"0","1"
"26-39","female","10-19y","high school","middle class",NA,"0","before 2015","0","0",12000,2,0,0,"0","1"
"65+","male","30y+","university","upper class",0.726440001845529,"1","after 2015","1","1",7000,2,0,3,"0","1"
"16-25","female","0-9y","none","poverty",0.24449009312408,"0","before 2015","0","1",NA,0,0,0,"1","3"
"16-25","male","0-9y","university","middle class",0.575770797450963,"1","before 2015","0","0",11000,0,0,0,"1","1"
"16-25","male","0-9y","high school","poverty",NA,"0","before 2015","0","0",10000,0,0,0,"1","1"
"16-25","male","0-9y","university","working class",0.468671965728324,"1","after 2015","0","1",9000,0,0,0,"1","3"
"65+","male","20-29y","university","upper class",0.697083455846478,"0","after 2015","0","1",13000,3,0,2,"0","1"
"40-64","female","20-29y","high school","working class",0.542918107942303,"1","before 2015","0","0",15000,1,1,0,"0","1"
"65+","male","30y+","high school","upper class",0.672256253514129,"1","before 2015","1","1",9000,4,1,2,"0","1"
"16-25","male","0-9y","none","poverty",0.386406618570331,"0","before 2015","0","0",8000,0,0,0,"1","3"
"16-25","male","0-9y","university","middle class",0.551297833071367,"1","before 2015","1","1",12000,0,0,0,"1","1"
"40-64","male","20-29y","high school","middle class",0.598557025424425,"0","after 2015","1","0",14000,4,1,4,"0","1"
"26-39","female","10-19y","none","working class",NA,"0","before 2015","1","1",NA,0,0,1,"0","1"
"40-64","female","20-29y","high school","upper class",0.582421994608741,"1","after 2015","1","1",11000,2,0,1,"0","1"
"26-39","female","10-19y","high school","middle class",0.540182723180248,"1","before 2015","1","1",NA,0,0,1,"0","1"
"65+","male","20-29y","university","upper class",0.633013947512296,"1","after 2015","0","1",14000,3,1,4,"0","1"
"40-64","male","20-29y","high school","middle class",0.552204630296896,"1","after 2015","1","0",12000,6,0,3,"0","3"
"26-39","female","0-9y","university","middle class",0.326681610178118,"0","before 2015","0","0",16000,0,0,0,"1","1"
"40-64","male","20-29y","high school","middle class",0.588082542404732,"1","before 2015","1","1",13000,7,1,1,"0","1"
"65+","female","0-9y","university","upper class",0.702274802097571,"0","before 2015","1","1",10000,0,0,0,"1","9"
"65+","female","0-9y","university","upper class",0.726605539197577,"1","before 2015","0","1",13000,0,0,0,"0","1"
"26-39","male","10-19y","university","working class",NA,"0","before 2015","1","1",12000,3,2,3,"1","1"
"65+","male","30y+","university","upper class",0.73238212135242,"1","before 2015","1","1",12000,5,1,5,"0","1"
"16-25","female","0-9y","none","poverty",0.201283921182776,"1","before 2015","0","0",12000,0,0,0,"1","3"
"26-39","male","10-19y","university","middle class",0.464160707631185,"0","before 2015","0","0",16000,0,1,0,"0","1"
"40-64","female","20-29y","university","upper class",0.657967742805304,"1","after 2015","1","0",13000,1,0,1,"0","9"
"65+","male","30y+","university","upper class",0.600216155430966,"1","before 2015","1","1",13000,5,2,4,"0","1"
"65+","male","30y+","university","upper class",0.666376018164496,"1","after 2015","1","1",12000,3,0,7,"0","1"
"26-39","male","0-9y","high school","working class",0.403147280231377,"1","before 2015","1","1",10000,0,0,0,"0","1"
"65+","male","20-29y","university","upper class",0.416935044130107,"1","before 2015","0","1",13000,5,1,5,"0","1"
"65+","female","30y+","none","upper class",0.594879713677891,"1","before 2015","1","1",8000,10,0,1,"0","3"
"26-39","male","10-19y","none","poverty",0.380426503462067,"0","before 2015","1","1",16000,1,0,1,"0","1"
"16-25","female","0-9y","none","poverty",NA,"0","before 2015","0","0",14000,0,0,0,"1","2"
"65+","female","30y+","university","upper class",0.680617632406099,"1","before 2015","1","1",12000,1,2,2,"0","1"
"40-64","male","0-9y","high school","working class",0.355950469993869,"1","before 2015","0","1",16000,0,0,0,"1","1"
"40-64","female","10-19y","none","middle class",NA,"1","before 2015","0","1",10000,2,0,0,"0","3"
"65+","female","30y+","high school","upper class",0.587831426389767,"1","after 2015","1","0",NA,3,0,1,"0","3"
"65+","female","10-19y","university","upper class",0.573388042602955,"1","after 2015","1","1",10000,0,0,2,"0","1"
"16-25","male","0-9y","university","middle class",0.296406282823781,"1","before 2015","0","0",13000,0,0,0,"1","1"
"65+","male","10-19y","university","upper class",0.429509698620844,"1","before 2015","1","1",10000,1,0,4,"0","1"
"65+","female","30y+","university","upper class",0.688568718619446,"1","after 2015","0","1",11000,2,0,0,"0","9"
"65+","female","20-29y","university","upper class",0.700017431968704,"1","after 2015","0","1",13000,1,0,1,"0","3"
"26-39","male","10-19y","university","working class",0.449588631037941,"0","before 2015","0","1",NA,0,0,1,"1","1"
"40-64","female","20-29y","university","upper class",0.690045581877834,"1","after 2015","1","0",11000,2,1,1,"0","1"
"40-64","female","10-19y","university","working class",0.496029873051001,"1","after 2015","0","0",13000,0,0,1,"0","1"
"26-39","male","10-19y","university","upper class",0.65634576251654,"0","after 2015","1","1",6000,8,0,0,"0","3"
"40-64","male","0-9y","high school","middle class",0.498356625994165,"1","after 2015","0","1",12000,0,0,0,"0","1"
"16-25","female","0-9y","university","middle class",0.546382543103348,"1","before 2015","1","1",12000,0,0,0,"0","1"
"40-64","female","10-19y","high school","working class",0.315862876709166,"1","before 2015","0","1",11000,0,0,1,"0","1"
"26-39","male","10-19y","none","working class",0.530064317118157,"1","before 2015","0","0",NA,1,0,2,"1","1"
"26-39","female","10-19y","high school","working class",0.357839172071144,"1","before 2015","0","1",12000,1,0,0,"1","3"
"65+","male","10-19y","university","upper class",0.672756052841708,"1","after 2015","1","1",9000,1,0,2,"0","1"
"40-64","male","20-29y","university","upper class",0.741999376030116,"1","after 2015","0","1",NA,2,0,2,"0","1"
"65+","female","30y+","university","upper class",0.622651978994974,"1","after 2015","1","1",11000,1,0,0,"0","1"
"16-25","female","0-9y","high school","middle class",0.480140667716301,"0","after 2015","0","0",14000,0,0,0,"1","3"
"65+","male","30y+","university","upper class",0.678795430982943,"1","after 2015","1","1",11000,5,1,3,"0","1"
"65+","male","30y+","university","upper class",NA,"1","before 2015","1","1",10000,13,1,6,"0","3"
"40-64","female","20-29y","university","upper class",0.515246708012588,"1","after 2015","0","1",12000,2,0,1,"0","1"
"26-39","male","10-19y","none","working class",0.489920598632577,"1","before 2015","0","1",13000,3,0,1,"0","1"
"65+","male","30y+","high school","middle class",0.421957948613267,"1","before 2015","0","1",11000,4,0,6,"0","1"
"40-64","male","20-29y","university","upper class",0.584354849666295,"1","before 2015","0","0",NA,1,0,2,"0","1"
"16-25","male","0-9y","none","poverty",NA,"0","before 2015","0","0",9000,0,0,0,"1","1"
"65+","female","30y+","high school","upper class",0.55815696989358,"1","after 2015","0","1",14000,0,0,0,"0","1"
"16-25","male","0-9y","high school","poverty",0.19414954837432,"0","before 2015","1","0",12000,0,0,0,"1","1"
"16-25","male","0-9y","high school","poverty",0.300497330390378,"0","before 2015","0","0",13000,0,0,0,"1","1"
"40-64","female","20-29y","university","upper class",0.667090691849856,"1","after 2015","1","1",7000,4,0,0,"0","1"
"40-64","male","0-9y","high school","upper class",0.613072407907405,"1","before 2015","1","0",NA,0,0,0,"1","1"
"40-64","male","10-19y","university","upper class",NA,"1","after 2015","1","0",11000,3,0,2,"0","1"
"26-39","male","10-19y","high school","middle class",0.595281762970913,"1","before 2015","1","1",8000,1,0,1,"0","3"
"26-39","male","0-9y","none","poverty",0.348235788293383,"0","before 2015","1","1",7000,0,0,0,"1","3"
"26-39","male","10-19y","high school","working class",0.356639671474586,"1","after 2015","1","1",8000,3,0,1,"0","1"
"26-39","female","10-19y","none","working class",0.34865912694298,"0","before 2015","1","0",12000,0,0,0,"1","2"
"40-64","male","0-9y","high school","middle class",0.559468486091557,"1","before 2015","0","1",12000,0,0,0,"1","3"
"16-25","male","0-9y","high school","poverty",0.514483730987584,"0","before 2015","0","0",12000,0,0,0,"1","1"
"40-64","female","20-29y","university","upper class",0.562638406066887,"1","after 2015","0","1",13000,2,1,0,"0","1"
"40-64","male","20-29y","university","middle class",0.571724625285796,"1","before 2015","0","1",15000,2,2,1,"0","3"
"65+","female","30y+","university","upper class",0.651007869017158,"1","after 2015","1","1",12000,5,0,2,"0","1"
"16-25","male","0-9y","university","working class",0.370734817356791,"1","before 2015","0","0",12000,0,0,0,"1","1"
"16-25","male","0-9y","high school","poverty",0.305145077681343,"1","before 2015","0","0",14000,0,0,0,"0","1"
"26-39","male","10-19y","university","upper class",0.574414421675844,"1","before 2015","0","0",NA,2,0,5,"1","3"
"26-39","female","10-19y","university","middle class",0.450014568082603,"1","before 2015","0","1",13000,1,0,1,"0","1"
"26-39","male","10-19y","university","upper class",0.636449095926164,"1","before 2015","1","1",NA,0,1,4,"0","1"
"65+","male","30y+","university","upper class",0.457671702936089,"0","before 2015","1","1",NA,4,0,8,"0","1"
"26-39","female","0-9y","high school","poverty",0.33574737320071,"0","before 2015","0","1",15000,0,0,0,"1","1"
"26-39","female","10-19y","none","poverty",0.318694764891133,"0","before 2015","0","1",NA,1,2,0,"0","3"
"26-39","male","10-19y","university","upper class",0.557840327195568,"1","after 2015","1","1",10000,2,0,0,"0","1"
"16-25","female","0-9y","none","working class",0.192427412428544,"0","before 2015","0","1",11000,0,0,0,"1","3"
"26-39","male","10-19y","university","working class",0.352824325135444,"0","before 2015","1","1",11000,6,1,3,"1","3"
"65+","female","0-9y","university","upper class",0.647569234863379,"0","after 2015","1","1",11000,0,0,0,"1","1"
"16-25","female","0-9y","high school","middle class",0.457236263443855,"1","after 2015","0","0",10000,0,0,0,"0","9"
"26-39","male","10-19y","none","middle class",0.504246929175958,"1","before 2015","0","1",13000,0,0,1,"0","1"
"16-25","male","0-9y","high school","poverty",0.374962500678416,"1","before 2015","0","1",15000,0,0,0,"1","1"
"16-25","female","0-9y","university","upper class",0.660315621298362,"1","before 2015","0","1",11000,0,0,0,"0","1"
"40-64","female","20-29y","high school","upper class",0.416917887374115,"1","before 2015","0","1",12000,3,0,0,"0","3"
"26-39","female","10-19y","high school","upper class",0.635084034775066,"1","before 2015","1","0",17000,0,1,0,"0","1"
"26-39","male","10-19y","high school","middle class",0.404928850740646,"1","before 2015","1","1",11000,2,0,0,"0","9"
"40-64","female","20-29y","high school","upper class",0.495628392632995,"0","after 2015","1","0",11000,2,0,0,"0","1"
"16-25","male","0-9y","none","poverty",0.392177834965928,"0","before 2015","1","0",NA,0,0,0,"1","1"
"40-64","female","10-19y","high school","upper class",0.514945049613751,"1","after 2015","1","1",11000,0,0,2,"0","1"
"65+","male","30y+","university","upper class",0.503222539279631,"1","after 2015","1","1",9000,6,2,10,"0","1"
"26-39","female","10-19y","university","upper class",0.714033903120575,"1","before 2015","1","1",11000,0,0,0,"1","2"
"26-39","male","10-19y","high school","working class",0.367051239514526,"0","before 2015","1","0",14000,1,0,1,"1","1"
"40-64","female","20-29y","high school","middle class",0.579392904362415,"1","before 2015","0","0",13000,2,0,0,"0","9"
"40-64","female","20-29y","high school","middle class",0.558470223640242,"1","before 2015","0","1",10000,1,0,4,"0","1"
"16-25","female","0-9y","high school","working class",0.291977658205194,"0","before 2015","0","1",12000,0,0,0,"1","3"
"40-64","female","20-29y","high school","middle class",0.661584142119009,"1","before 2015","0","1",12000,5,0,0,"0","3"
"16-25","female","0-9y","none","poverty",0.378829028833099,"0","before 2015","0","0",17000,0,0,0,"1","1"
"16-25","female","0-9y","high school","poverty",0.374070559017988,"1","before 2015","0","0",15000,0,0,0,"1","1"
"40-64","male","20-29y","university","upper class",NA,"1","before 2015","0","0",13000,3,1,2,"0","1"
"65+","male","30y+","university","upper class",0.459378575152314,"1","before 2015","1","1",13000,1,0,5,"0","1"
"40-64","male","20-29y","university","middle class",NA,"1","before 2015","0","0",15000,2,0,5,"0","1"
"40-64","female","0-9y","university","upper class",0.465450683757569,"1","after 2015","1","1",11000,0,0,0,"0","1"
"16-25","male","0-9y","high school","middle class",0.408686698091274,"1","before 2015","0","1",9000,0,0,0,"1","3"
"65+","female","20-29y","high school","upper class",0.588802138502184,"1","before 2015","1","1",11000,2,0,2,"0","1"
"40-64","male","20-29y","high school","upper class",0.61502467895473,"1","before 2015","1","1",7000,3,1,0,"0","3"
"65+","female","30y+","high school","upper class",NA,"1","before 2015","1","1",8000,2,0,0,"0","3"
"40-64","female","20-29y","university","upper class",0.546460114054332,"1","after 2015","1","1",8000,1,0,1,"0","1"
"26-39","female","10-19y","none","working class",NA,"1","before 2015","0","0",16000,1,0,1,"0","1"
"65+","male","0-9y","university","upper class",0.737994819837278,"1","after 2015","1","0",17000,0,0,0,"0","1"
"40-64","female","10-19y","none","working class",0.427373364270648,"1","before 2015","0","1",10000,3,0,0,"0","3"
"16-25","female","0-9y","high school","poverty",0.412991841442171,"0","before 2015","0","0",NA,0,0,0,"1","1"
"40-64","male","20-29y","university","upper class",0.695323197086133,"0","before 2015","1","1",7000,3,1,1,"0","3"
"16-25","female","0-9y","high school","poverty",0.291234413467434,"0","before 2015","0","1",13000,0,0,0,"1","1"
"16-25","female","0-9y","high school","poverty",0.244133262998477,"0","before 2015","1","1",11000,0,0,0,"1","1"
"65+","male","0-9y","university","upper class",0.508274014852183,"1","after 2015","1","1",9000,0,0,0,"0","1"
"16-25","female","0-9y","none","poverty",0.293258481258127,"1","before 2015","0","1",14000,0,0,0,"0","1"
"26-39","female","10-19y","none","poverty",0.343641719082906,"0","before 2015","0","0",13000,0,1,0,"1","1"
"16-25","female","0-9y","university","poverty",0.5033225200786,"0","before 2015","0","0",15000,0,0,0,"1","1"
"26-39","female","0-9y","university","upper class",NA,"0","after 2015","0","1",NA,0,0,0,"0","1"
"40-64","female","20-29y","university","upper class",0.66305136906895,"1","after 2015","1","1",NA,2,0,0,"0","1"
"40-64","male","0-9y","none","poverty",0.202708437944827,"0","before 2015","0","1",11000,0,0,0,"1","3"
"26-39","female","10-19y","high school","upper class",0.665343329329833,"1","before 2015","1","1",12000,1,0,0,"0","3"
"65+","male","30y+","university","upper class",0.538623693287567,"1","after 2015","1","1",9000,8,0,5,"0","1"
"16-25","female","0-9y","high school","working class",0.410136704788567,"0","before 2015","0","0",15000,0,0,0,"0","1"
"16-25","male","0-9y","none","poverty",0.31364558461232,"1","before 2015","0","1",13000,0,0,0,"0","1"
"26-39","male","0-9y","university","upper class",0.507324135620708,"1","before 2015","0","1",12000,0,0,0,"0","3"
"16-25","male","0-9y","none","poverty",0.209507388382319,"0","before 2015","0","1",14000,0,0,0,"1","1"
"16-25","female","0-9y","high school","working class",0.490724054263764,"1","before 2015","0","0",15000,0,0,0,"1","1"
"40-64","male","20-29y","university","middle class",0.58149867431758,"1","before 2015","1","1",14000,5,0,0,"0","1"
"26-39","female","0-9y","high school","upper class",0.685035950524425,"1","before 2015","0","1",12000,0,0,0,"1","1"
